Player,First,Last,Active,GP,GS,W,L,TOL,GA,SA,SV,SV_PCT,GAA,SO,PIM,MIN
Timo Pielmeier,2010,2011,1,1,0,0,0,0,5,12,7,0.583,7.5,0,0,40
Martin Houle,2006,2007,1,1,,0,0,0,1,3,2,0.667,30,0,0,2
Brent Krahn,2008,2009,1,1,0,0,0,0,3,9,6,0.667,9,0,0,20
Roman Will,2015,2016,1,1,0,0,0,0,1,3,2,0.667,3.33,0,0,18
Travis Scott,2000,2001,1,1,,0,0,0,3,10,7,0.7,7.2,0,0,25
Iiro Tarkki,2011,2012,1,1,0,1,0,0,3,10,7,0.7,4.39,0,0,41
Kent Simpson,2013,2014,1,1,0,0,0,0,2,7,5,0.714,6,0,0,20
Malcolm Subban,2014,2017,2,2,2,0,2,0,6,22,16,0.727,5.81,0,0,62
Chris Pusey,1985,1986,1,1,,0,0,0,3,12,9,0.75,4.5,0,0,40
Steve McKichan,1990,1991,1,1,,0,0,0,2,8,6,0.75,6,0,0,20
Sebastien Centomo,2001,2002,1,1,,0,0,0,3,12,9,0.75,4.5,0,0,40
Adam Hauser,2005,2006,1,1,,0,0,0,6,24,18,0.75,7.06,0,0,51
Jeremy Duchesne,2009,2010,1,1,0,0,0,0,1,4,3,0.75,3.53,0,0,17
Tyler Bunz,2014,2015,1,1,0,0,0,0,3,12,9,0.75,9,0,0,20
Jordan Binnington,2015,2016,1,1,0,0,0,0,1,4,3,0.75,4.62,0,0,13
Niklas Treutle,2015,2016,1,2,1,0,1,0,5,20,15,0.75,6,0,2,50
Gregg Naumenko,2000,2001,1,2,,0,1,0,7,29,22,0.759,6,0,2,70
Paxton Schafer,1996,1997,1,3,,0,0,0,6,25,19,0.76,4.68,0,0,77
Mike Greenlay,1989,1990,1,2,,0,0,0,4,17,13,0.765,12,0,0,20
Dave Gagnon,1990,1991,1,2,,0,1,0,6,28,22,0.786,10.29,0,0,35
David Littman,1990,1993,3,3,,0,2,0,14,68,54,0.794,5.96,0,0,141
Karl Friesen,1986,1987,1,4,,0,2,1,16,80,64,0.8,7.38,0,0,130
Ross McKay,1990,1991,1,1,,0,0,0,3,15,12,0.8,5.14,0,0,35
Dimitri Patzold,2007,2008,1,3,0,0,0,0,4,20,16,0.8,5.45,0,0,44
Joacim Eriksson,2013,2014,1,1,0,,,,6,31,25,0.806,10,0,0,36
David Goverde,1991,1994,3,5,,1,4,0,29,151,122,0.808,6.26,0,0,278
Marek Schwarz,2006,2009,3,6,0,0,2,0,9,47,38,0.809,4.32,0,0,125
Michel Larocque,1973,1984,11,312,,160,89,45,978,164,133,0.811,3.33,17,18,17615
Ken Holland,1980,1984,2,4,,0,2,1,17,53,43,0.811,4.95,0,0,206
Scott King,1990,1992,2,2,,0,0,0,3,16,13,0.813,2.95,0,0,61
Mike Moffat,1981,1984,3,19,,7,7,2,70,81,66,0.815,4.29,0,2,979
Alfie Michaud,1999,2000,1,2,,0,1,0,5,27,22,0.815,4.35,0,0,69
Gary Laskoski,1982,1984,2,59,,19,27,5,228,321,266,0.829,4.65,0,6,2942
Pheonix Copley,2015,2017,2,2,1,0,1,0,6,35,29,0.829,4.34,0,0,83
Scott Gordon,1989,1991,2,23,,2,16,0,101,593,492,0.83,5.6,0,0,1082
Vincent Tremblay,1979,1984,5,58,,12,26,8,223,142,118,0.831,4.8,1,4,2785
Brian Ford,1983,1985,2,11,,3,7,0,61,362,301,0.831,6.31,0,0,580
Evgeny Konstantinov,2000,2003,2,2,,0,0,0,1,6,5,0.833,2.86,0,2,21
Chad Erickson,1991,1992,1,2,,1,1,0,9,55,46,0.836,4.5,0,0,120
Yutaka Fukufuji,2006,2007,1,4,,0,3,0,7,43,36,0.837,4.37,0,0,96
Mario Lessard,1978,1984,6,240,,92,97,39,843,160,134,0.838,3.74,9,30,13529
Tyrone Garner,1998,1999,1,3,,0,2,0,12,74,62,0.838,5.18,0,0,139
Neil Little,2001,2004,2,2,,0,2,0,6,37,31,0.838,3.87,0,10,93
Mike Veisor,1973,1984,10,139,,41,62,26,532,286,240,0.839,4.09,5,2,7806
Jim Craig,1979,1984,3,30,,11,10,7,100,56,47,0.839,3.78,0,11,1588
Cleon Daskalakis,1984,1987,3,12,,3,4,1,41,255,214,0.839,4.86,0,0,506
Darrell May,1985,1988,2,6,,1,5,0,31,193,162,0.839,5.11,0,2,364
Randy Exelby,1988,1990,2,2,,0,1,0,5,31,26,0.839,4.76,0,0,63
George Maneluk,1990,1991,1,4,,1,1,0,15,94,79,0.84,6.43,0,2,140
Rick St. Croix,1977,1985,8,130,,49,54,18,451,845,711,0.841,3.71,2,2,7295
Brian Eklund,2005,2006,1,1,,0,1,0,3,19,16,0.842,3.1,0,0,58
John Garrett,1979,1985,6,207,,68,91,37,837,1001,844,0.843,4.27,1,41,11763
Eddie Mio,1979,1986,7,192,,64,73,30,705,1304,1099,0.843,4.06,4,47,10428
Mark Holden,1981,1985,4,8,,2,2,1,25,121,102,0.843,4.03,0,0,372
Marc Behrend,1983,1986,3,39,,12,19,3,160,1028,868,0.844,4.82,1,0,1991
Justin Pogge,2008,2009,1,7,6,1,4,1,27,173,146,0.844,4.35,0,0,372
Jussi Rynnas,2011,2015,3,5,2,0,2,0,14,90,76,0.844,4.18,0,0,201
Hannu Kamppuri,1984,1985,1,13,,1,10,1,54,351,297,0.846,5.02,0,2,645
Vitali Yeremeyev,2000,2001,1,4,,0,4,0,16,104,88,0.846,4.53,0,0,212
Michel Larocque,2000,2001,1,3,,0,2,0,9,59,50,0.847,3.55,0,0,152
